disclosure_group,domain,total_request_count
Class 2,recastsoftware.com,1
Class 2,recdesk.com,3
Class 2,receitasnestle.com.br,9
Class 2,recruit.net,4
Class 2,recruitology.com,1
Class 2,rededorsaoluiz.com.br,5
Class 2,redtag.ca,2
Class 2,ree.es,1
Class 2,reevoo.com,2
Class 2,reference.com,14
Class 2,registrocivil.org.br,1
Class 2,regonline.com,2
Class 2,regulaforensics.com,1
Class 2,reitmans.com,2
Class 2,reklama5.mk,4
Class 2,relateddigital.com,4
Class 2,relexsolutions.com,2
Class 2,remax.ca,13
Class 2,remnote.com,2
Class 2,remodelista.com,10
Class 2,remote.it,2
Class 2,renault.com,1
Class 2,renaultgroup.com,1
Class 2,rendimentonline.com.br,1
Class 2,reproductiverights.org,3
Class 2,resellerratings.com,5
Class 2,reserveamerica.com,14
Class 2,resizepixel.com,7
Class 2,resonate.com,2
Class 2,responsiveads.com,1
Class 2,responso.com,3
Class 2,restosducoeur.org,2
Class 2,resume.io,1
Class 2,retailrocket.net,1
Class 2,retailtouchpoints.com,1
Class 2,reteno.com,2
Class 2,retn.net,2
Class 2,retrogames.cc,26
Class 2,rev.com,5
Class 2,revenuecat.com,1
Class 2,revenuewell.com,3
Class 2,reversephone.com,1
Class 2,reviewed.com,3
Class 2,revjet.com,3
Class 2,revlifter.com,2
Class 2,revlifter.io,2
Class 2,revspin.net,8
Class 2,revzilla.com,2
Class 2,rhul.ac.uk,2
Class 2,riba.org,2
Class 2,richrelevance.com,1
Class 2,rightworks.com,2
Class 2,riomedia.cz,2
Class 2,riotinto.com,2
Class 2,rit.edu,3
Class 2,ritzau.dk,2
Class 2,rixos.com,2
Class 2,riya.travel,3
Class 2,rj.com,4
Class 2,rj.gov.br,4
Class 2,roadmap.sh,7
Class 2,roadtrippers.com,12
Class 2,robinpowered.com,1
Class 2,rocket.chat,3
Class 2,rocketreach.co,1
Class 2,roguefitness.com,2
Class 2,roh.org.uk,2
Class 2,rolandgarros.com,1
Class 2,romeo.com,1
Class 2,roomraccoon.com,1
Class 2,roots.com,4
Class 2,rossmann.de,1
Class 2,roxynailsparis.com,2
Class 2,royalcaribbean.com,2
Class 2,royalholloway.ac.uk,2
Class 2,royalvegascasino.com,1
Class 2,rpggeek.com,9
Class 2,rsc.org.uk,4
Class 2,rsk.co,1
Class 2,rsmus.com,2
Class 2,rspo.org,5
Class 2,rttnews.com,26
Class 2,rubberb.com,1
Class 2,ruckuswireless.com,1
Class 2,runpod.io,2
Class 2,rusdate.de,10
Class 2,rusdate.net,20
Class 2,rusi.org,1
Class 2,rusta.com,3
Class 2,rvc.ac.uk,1
Class 2,rw-co.com,2
Class 2,sabcnews.com,8
Class 2,sabervivirtv.com,5
Class 2,sae.org,4
Class 2,safaricom.co.ke,3
Class 2,safebrands.com,2
Class 2,safebrands.fr,2
Class 2,safelite.com,1
Class 2,safetyandhealthmagazine.com,5
Class 2,saffire.com,4
Class 2,safra.com.br,2
Class 2,salecycle.com,2
Class 2,salemove.com,2
Class 2,salesfire.co.uk,2
Class 2,saleswingsapp.com,3
Class 2,salonized.com,2
Class 2,salsalabs.com,2
Class 2,salsalabs.org,1
Class 2,salsify.com,1
Class 2,salvador-dali.org,1
Class 2,samanage.com,2
Class 2,sandisk.com,2
Class 2,sangeethamobiles.com,6
Class 2,sangfor.com,3
Class 2,sankhya.com.br,3
Class 2,sansan.com,3
Class 2,santafenewmexican.com,17
Class 2,santannapisa.it,2
Class 2,sardine.ai,2
Class 2,sas.com,1
Class 2,sascar.com.br,9
Class 2,sasol.com,1
Class 2,saturdayeveningpost.com,7
Class 2,sav.sk,1
Class 2,savanta.com,1
Class 2,savantpower.com,1
Class 2,savers.co.uk,2
Class 2,savethechildren.org.uk,2
Class 2,savett.cc,4
Class 2,sayprimer.com,4
Class 2,sbb.rs,5
Class 2,sbc.com,2
Class 2,sbtjapan.com,2
Class 2,scala.com,4
Class 2,scalefusion.com,2
Class 2,scan.co.uk,3
Class 2,scapino.nl,2
Class 2,scarlet.be,1
Class 2,sccoast.net,5
Class 2,scholasticahq.com,2
Class 2,schoolspecialty.com,2
Class 2,schuhcenter.de,2
Class 2,schuttevaer.nl,10
Class 2,scican.com,1
Class 2,scidev.net,2
Class 2,sciencebusiness.net,2
Class 2,sciencefriday.com,6
Class 2,sciencemediacentre.org,1
Class 2,sciencenews.org,11
Class 2,scite.ai,2
Class 2,scope.org.uk,4
Class 2,scoreapp.com,2
Class 2,screencast.com,1
Class 2,screencloud.com,2
Class 2,scroll.in,8
Class 2,scufgaming.com,1
Class 2,sdxcentral.com,8
Class 2,seafoodsource.com,3
Class 2,searchserverapi.com,3
Class 2,seatmaps.com,8
Class 2,seattlemet.com,9
Class 2,secondlife.com,3
Class 2,secretescapes.com,4
Class 2,secretescapes.de,3
Class 2,secretsales.com,3
Class 2,secretsdujeu.com,11
Class 2,secunia.com,1
Class 2,securityboulevard.com,14
Class 2,securityeducation.com,1
Class 2,securitymagazine.com,2
Class 2,seekda.com,2
Class 2,seequent.com,1
Class 2,seesaw.me,1
Class 2,semana.es,4
Class 2,semgrep.dev,3
Class 2,semiengineering.com,5
Class 2,semrush.com,1
Class 2,send-anywhere.com,10
Class 2,sendinblue.com,1
Class 2,sendmail.org,1
Class 2,sendpulse.com,1
Class 2,senior.com.br,10
Class 2,sensicomfort.com,2
Class 2,sentencingproject.org,1
Class 2,seohost.com.pl,2
Class 2,seohost.pl,2
Class 2,seosthemes.com,7
Class 2,sephora.com.br,2
Class 2,sequoiacap.com,2
Class 2,serasaexperian.com.br,4
Class 2,serbenfiquista.com,17
Class 2,serco-na.com,2
Class 2,sermoncentral.com,9
Class 2,servconfig.com,1
Class 2,servicebench.com,1
Class 2,sesametime.com,4
Class 2,setapp.com,1
Class 2,sevastopol.su,3
Class 2,sevilla.org,1
Class 2,sextpanther.com,1
Class 2,sfn.org,3
Class 2,sfpl.org,3
Class 2,sgu.edu,1
Class 2,sgxnifty.org,9
Class 2,shakespearesglobe.com,1
Class 2,shangri-la.com,4
Class 2,shapeways.com,1
Class 2,sharkninja.com,2
Class 2,sharp-stream.com,1
Class 2,shelly.cloud,3
Class 2,shelly.com,3
Class 2,shelterluv.com,2
Class 2,shemaletube.tv,1
Class 2,sherdog.com,8
Class 2,shiftbase.com,2
Class 2,shipbob.com,2
Class 2,shipstation.com,3
Class 2,shoezone.com,5
Class 2,shokz.com,1
Class 2,shopakira.com,1
Class 2,shopcider.com,1
Class 2,shopee.com.br,3
Class 2,shoplazza.com,2
Class 2,shoplift.ai,5
Class 2,shoppinggives.com,2
Class 2,shoprenter.hu,2
Class 2,shopwss.com,4
Class 2,shor.by,3
Class 2,shore.com,2
Class 2,shorthand.com,1
Class 2,showmyip.com,7
Class 2,showpad.com,1
Class 2,shsu.edu,3
Class 2,shu.ac.uk,2
Class 2,sibautomation.com,2
Class 2,sicoob.com.br,1
Class 2,sieg.com,2
Class 2,sigmalive.com,5
Class 2,signalfx.com,2
Class 2,signalrgb.com,2
Class 2,silvercloudinc.com,1
Class 2,silverpop.com,2
Class 2,silversea.com,2
Class 2,sim-networks.com,1
Class 2,simpleimageresizer.com,8
Class 2,simplepractice.com,3
Class 2,simplero.com,1
Class 2,simplesdental.com,1
Class 2,simplesite.com,2
Class 2,simplify.jobs,2
Class 2,simplilearn.com,3
Class 2,singular.net,3
Class 2,singularityhub.com,8
Class 2,singulart.com,3
Class 2,sipag.com.br,7
Class 2,siriusxm.com,1
Class 2,sistemi.com,1
Class 2,siteblindado.com,2
Class 2,siteminder.com,1
Class 2,sixnationsrugby.com,7
Class 2,sjsu.edu,1
Class 2,skechers.in,1
Class 2,sketchuptextureclub.com,18
Class 2,skift.com,14
Class 2,skio.com,2
Class 2,skittles.com,2
Class 2,skole.hr,1
Class 2,skolon.com,4
Class 2,skycoach.gg,5
Class 2,skyfish.com,1
Class 2,skynet.be,1
Class 2,skyro.ph,2
Class 2,skyscraperpage.com,8
Class 2,skyzone.com,2
Class 2,slbenfica.pt,2
Class 2,slovanet.net,5
Class 2,slowfood.com,2
Class 2,slushpool.com,2
Class 2,sm360.ca,3
Class 2,smartadvocate.org,3
Class 2,smartbear.com,3
Class 2,smartframe.io,1
Class 2,smarthost.pl,2
Class 2,smartmetrics.co.uk,2
Class 2,smartsurvey.co.uk,3
Class 2,smartt.com,2
Class 2,smarty.com,2
Class 2,smartystreets.com,2
Class 2,smashfly.com,2
Class 2,smile.one,1
Class 2,smith-nephew.com,2
Class 2,smoothieking.com,6
Class 2,smu.edu.sg,7
Class 2,snacknation.com,4
Class 2,snapcomms.com,1
Class 2,snapfiles.com,24
Class 2,sneaksup.com,2
Class 2,snitcher.com,1
Class 2,soa.org,5
Class 2,soccerladuma.co.za,28
Class 2,socialsolutions.com,2
Class 2,softline.com,3
Class 2,softwaresuggest.com,8
Class 2,sogi.com.tw,11
Class 2,sohosted.com,2
Class 2,sojern.com,1
Class 2,solar.com.pl,2
Class 2,solarwinds.com,2
Class 2,solides.com.br,9
Class 2,solverde.pt,3
Class 2,somostodosum.com.br,35
Class 2,sonetas.eu,2
Class 2,sony.co.in,1
Class 2,sonyentertainmentnetwork.com,2
Class 2,soreto.com,2
Class 2,sosafe.de,2
Class 2,sothebys.com,3
Class 2,soundhound.com,1
Class 2,soundraw.io,4
Class 2,spacelift.io,2
Class 2,spain.info,1
Class 2,spareroom.co.uk,2
Class 2,spareroom.com,4
Class 2,spartacus-educational.com,15
Class 2,spcbrasil.com.br,2
Class 2,spe.org,10
Class 2,speakeasy.net,2
Class 2,speechify.com,2
Class 2,speediance.com,1
Class 2,speedof.me,10
Class 2,speedweb.sk,1
Class 2,spellingtraining.com,18
Class 2,spin.ph,20
Class 2,spincasino.com,1
Class 2,spirit.com,2
Class 2,spitfireaudio.com,1
Class 2,splunk.com,2
Class 2,splunkcloud.com,2
Class 2,spokeo.com,3
Class 2,sportisimo.cz,2
Class 2,sportisimo.ro,1
Class 2,sportisimo.sk,1
Class 2,sportium.es,1
Class 2,sportler.com,1
Class 2,sportsgambler.com,1
Class 2,sportslogos.net,13
Class 2,sporza.be,7
Class 2,spotler.com,3
Class 2,springboard.com,5
Class 2,springfarma.com,1
Class 2,spritmonitor.de,15
Class 2,squawka.com,4
Class 2,srovname.cz,6
Class 2,srv.cr,2
Class 2,ss-iptv.com,30
Class 2,sscdn.co,13
Class 2,ssotica.com.br,2
Class 2,ssrc.org,1
Class 2,st-and.ac.uk,2
Class 2,st-andrews.ac.uk,2
Class 2,stackpathdns.net,2
Class 2,stacksocial.com,2
Class 2,staffs.ac.uk,1
Class 2,stampworld.com,10
Class 2,standardhotels.com,2
Class 2,starbreeze.com,1
Class 2,starnet.cz,1
Class 2,starpets.gg,6
Class 2,startnext.com,1
Class 2,startupgrind.com,7
Class 2,starwalk.space,1
Class 2,stat.gov.pl,1
Class 2,state.gov,1
Class 2,statmuse.com,3
Class 2,statscore.com,1
Class 2,statuo.co.uk,3
Class 2,stay-app.com,1
Class 2,stay22.com,2
Class 2,stealthelook.com.br,30
Class 2,steamgriddb.com,5
Class 2,stefanini.com,6
Class 2,stellarinfo.com,2
Class 2,stereophile.com,6
Class 2,stetson.edu,2
Class 2,stevieawards.com,4
Class 2,stewmac.com,1
Class 2,stheadline.com,21
Class 2,stileo.it,4
Class 2,stillwhite.com,2
Class 2,stitcher.com,2
Class 2,stm.info,5
Class 2,stockhouse.com,11
Class 2,stokke.com,1
Class 2,stone.com.br,3
Class 2,stoplight.io,5
Class 2,storicang.it,13
Class 2,storypark.com,3
Class 2,strapi.io,3
Class 2,strategy.com,1
Class 2,streema.com,20
Class 2,street.co.uk,3
Class 2,stroke.org,2
Class 2,strongdm.com,1
Class 2,structurae.net,10
Class 2,stthomas.edu,3
Class 2,studentdoctor.net,7
Class 2,studysmarter.de,2
Class 2,stuki-druki.com,9
Class 2,stumbleguys.com,7
Class 2,stv.ee,4
Class 2,stylemixthemes.com,2
Class 2,subaru.jp,4
Class 2,submittable.com,1
Class 2,suddenlink.net,11
Class 2,sugarsync.com,1
Class 2,sui.io,2
Class 2,suitsupply.com,2
Class 2,sumologic.com,2
Class 2,sunbeltsoftware.com,2
Class 2,sunbit.com,4
Class 2,suncommunitynews.com,7
Class 2,sunderland.ac.uk,3
Class 2,sunlighten.com,3
Class 2,sunmi.com,1
Class 2,suno.ai,1
Class 2,suno.com,2
Class 2,sunshinehealth.com,4
Class 2,superastro.com.co,1
Class 2,superbid.net,3
Class 2,superfaktura.sk,3
Class 2,supersummary.com,1
Class 2,supsystic.com,2
Class 2,surferseo.com,3
Class 2,suruga-ya.com,5
Class 2,surveygizmo.eu,3
Class 2,surveysparrow.com,1
Class 2,survimo.com,17
Class 2,survivalinternational.org,1
Class 2,sustainablebrands.com,13
Class 2,sutd.edu.sg,6
Class 2,suzyshier.com,2
Class 2,swagger.io,1
Class 2,swan.ac.uk,3
Class 2,swann.com,2
Class 2,swansea.ac.uk,4
Class 2,swaven.com,3
Class 2,swhosting.com,2
Class 2,swimswam.com,22
Class 2,swin.edu.au,2
Class 2,swinburne.edu.au,2
Class 2,swipely.com,1
Class 2,swoca.net,1
Class 2,sycle.net,1
Class 2,sykescottages.co.uk,1
Class 2,symbol.rs,2
Class 2,synchronoss.com,1
Class 2,syncromsp.com,2
Class 2,synevo.ro,2
Class 2,syngenta.com,1
Class 2,synottip.cz,3
Class 2,synthesia.io,2
Class 2,sysaid.com,2
Class 2,sztaki.hu,1
Class 2,tabii.com,2
Class 2,tabit.cloud,2
Class 2,tactiq.io,3
Class 2,taggstar.com,1
Class 2,tailorbrands.com,2
Class 2,tailoy.com.pe,2
Class 2,takarazuka-ticket.com,3
Class 2,talentlms.com,7
Class 2,talkie-ai.com,6
Class 2,talkpal.ai,2
Class 2,tamashiiweb.com,1
Class 2,tangerino.com.br,5
Class 2,tango.us,2
Class 2,tapatalk.com,4
Class 2,tapnative.com,1
Class 2,tappx.com,1
Class 2,tappytoon.com,1
Class 2,taptapsend.com,3
Class 2,targeo.pl,6
Class 2,tartecosmetics.com,2
Class 2,tatacommunications.com,2
Class 2,tataritv.com,5
Class 2,tatum.io,1
Class 2,taxheaven.gr,1
Class 2,taxjustice.net,1
Class 2,tayyarijeetki.in,3
Class 2,taz.de,12
Class 2,tcf.org,2
Class 2,tcl.com,2
Class 2,teachmeanatomy.info,7
Class 2,teachy.ai,10
Class 2,teachy.com.br,7
Class 2,teachyourmonster.org,1
Class 2,teamlinkt.com,3
Class 2,teamnl.org,7
Class 2,tec.ac.cr,2
Class 2,tech.co,1
Class 2,tecmint.com,9
Class 2,teleamazonas.com,8
Class 2,telerik.com,1
Class 2,telkom.co.za,3
Class 2,tellyo.com,1
Class 2,temenos.com,1
Class 2,templatemonster.com,2
Class 2,tennis.com.au,8
Class 2,tescomobile.com,3
Class 2,tesourodireto.com.br,2
Class 2,testgorilla.com,2
Class 2,testmuai.com,4
Class 2,textmagic.com,3
Class 2,textron.com,1
Class 2,thaiairways.com,4
Class 2,thaicupid.com,2
Class 2,the-afc.com,3
Class 2,the-saleroom.com,2
Class 2,theabclearning.com,23
Class 2,theartnewspaper.com,5
Class 2,theatermania.com,10
Class 2,thebanker.com,17
Class 2,thebest100hotels.com,1
Class 2,thebiglead.com,15
Class 2,thecalmzone.net,5
Class 2,thecanadianpressnews.ca,11
Class 2,thecheesecakefactory.com,1
Class 2,thecompleteuniversityguide.co.uk,9
Class 2,thecooldown.com,5
Class 2,thecounter.com,2
Class 2,thedrinksbusiness.com,9
Class 2,theecologist.org,1
Class 2,theengineer.co.uk,7
Class 2,theesa.com,1
Class 2,theeverlearner.com,2
Class 2,thefashionablehousewife.com,4
Class 2,thefashionspot.com,20
Class 2,thefiscaltimes.com,5
Class 2,thefrisky.com,1
Class 2,thefuse.co.za,13
Class 2,thegadgetflow.com,8
Class 2,thehenryford.org,2
Class 2,thehockeywriters.com,21
Class 2,theiia.org,1
Class 2,thejockeyclub.co.uk,1
Class 2,thelondonneurocognitiveclinic.co.uk,2
Class 2,thelotter.com,3
Class 2,theluxurycloset.com,5
Class 2,themarketer.com,2
Class 2,themart.gr,2
Class 2,themehunk.com,2
Class 2,themezhut.com,1
Class 2,thenation.com,16
Class 2,thenewstack.io,9
Class 2,theonion.com,11
Class 2,theoplayer.com,6
Class 2,thephoblographer.com,14
Class 2,theplaylist.net,15
Class 2,therange.co.uk,1
Class 2,thereformation.com,2
Class 2,thersa.org,5
Class 2,thespiritsbusiness.com,9
Class 2,thesunmagazine.org,2
Class 2,thetoyshop.com,2
Class 2,thewhitecompany.com,2
Class 2,theworks.co.uk,1
Class 2,thiememeulenhoff.nl,1
Class 2,thisisanfield.com,10
Class 2,thoughtspot.com,1
Class 2,three.co.uk,1
Class 2,threebirdnest.com,4
Class 2,thrivethemes.com,1
Class 2,throne.com,2
Class 2,thrustmaster.com,2
Class 2,thunderpick.io,2
Class 2,tiaa-cref.org,3
Class 2,tiaa.org,3
Class 2,ticketmaster.ca,4
Class 2,ticketmaster.com.mx,1
Class 2,ticketweb.com,2
Class 2,tickmill.com,8
Class 2,ticksy.com,1
Class 2,tigoenergy.com,1
Class 2,time4learning.com,1
Class 2,timecamp.com,1
Class 2,timedoctor.com,3
Class 2,timeform.com,1
Class 2,timeslive.co.za,39
Class 2,timesofsandiego.com,14
Class 2,timex.com,2
Class 2,timify.com,1
Class 2,tinuiti.com,2
Class 2,tiny.com.br,5
Class 2,tinybuddha.com,10
Class 2,tiobe.com,1
Class 2,titan.email,3
Class 2,tithe.ly,3
Class 2,tmb.cat,3
Class 2,tmstor.es,1
Class 2,tni.org,1
Class 2,today.com,17
Class 2,tods.com,1
Class 2,togg.com.tr,4
Class 2,tolt.io,2
Class 2,tommybahama.com,1
Class 2,tomorrow.io,1
Class 2,tomorrowland.com,2
Class 2,tonybet.com,2
Class 2,tonyrobbins.com,3
Class 2,topagrar.pl,3
Class 2,topcashback.co.uk,1
Class 2,toppreise.ch,7
Class 2,topuniversities.com,13
Class 2,topuplive.com,2
Class 2,toradex.com,2
Class 2,torecolo.jp,4
Class 2,torrossa.com,2
Class 2,tosibox.com,1
Class 2,totalbattle.com,2
Class 2,totalexpress.com.br,7
Class 2,toto.com,3
Class 2,totogaming.ro,3
Class 2,tottenhamhotspur.com,2
Class 2,touchtunes.com,5
Class 2,towardsdatascience.com,15
Class 2,toyota.co.th,2
Class 2,toyota.com.br,5
Class 2,toyota.com.sa,1
Class 2,toyota.pl,2
Class 2,toyscenter.it,1
Class 2,tpa.com.br,2
Class 2,trackingmore.com,1
Class 2,trackonomics.net,3
Class 2,tractorhouse.com,7
Class 2,trademarkarea.com,1
Class 2,trademarkia.com,1
Class 2,trafalgar.com,2
Class 2,trainerroad.com,2
Class 2,trainingindustry.com,8
Class 2,tramasmas.com,3
Class 2,tranny.one,2
Class 2,transifex.com,4
Class 2,translated.net,2
Class 2,transmitsecurity.io,1
Class 2,travala.com,3
Class 2,travelcircus.de,1
Class 2,travelguard.com,2
Class 2,traveljoy.com,2
Class 2,travelpulse.com,9
Class 2,trb.org,1
Class 2,treatwell.co.uk,1
Class 2,treatwell.de,1
Class 2,tree-nation.com,2
Class 2,trekbikes.com,5
Class 2,trekmovie.com,11
Class 2,trellis.net,2
Class 2,trendmicro.co.jp,1
Class 2,trendmicro.com,3
Class 2,trendnet.com,1
Class 2,trengo.eu,1
Class 2,tresensa.com,3
Class 2,trespass.com,2
Class 2,trex.com,3
Class 2,trial-net.co.jp,1
Class 2,trikotazh.by,1
Class 2,trimble.com,1
Class 2,trinet.com,2
Class 2,trinks.com,4
Class 2,tripleseat.com,6
Class 2,truckpaper.com,5
Class 2,truefit.com,1
Class 2,trueinternet.co.th,2
Class 2,trust.com,1
Class 2,trustly.com,3
Class 2,tryhackme.com,2
Class 2,tsmc.com,1
Class 2,tubebuddy.com,4
Class 2,tudoradio.com,24
Class 2,tue.nl,1
Class 2,tufs.ac.jp,1
Class 2,tunedglobal.com,1
Class 2,tupperware.com.br,3
Class 2,tvb.com,5
Class 2,tvpassport.com,31
Class 2,tvrain.ru,10
Class 2,tvrain.tv,14
Class 2,tvseriesfinale.com,23
Class 2,tvxs.gr,31
Class 2,twingate.com,1
Class 2,twinset.com,2
Class 2,tygodnik-rolniczy.pl,6
Class 2,tyson.com,2
Class 2,uab.edu,1
Class 2,ubagroup.com,2
Class 2,ubuy.co.in,2
Class 2,ubuy.fr,2
Class 2,ubuy.qa,2
Class 2,uca.fr,1
Class 2,uci.org,4
Class 2,ucihealth.org,1
Class 2,uclawsf.edu,2
Class 2,ucp.pt,3
Class 2,uctonlinehighschool.com,3
Class 2,uel.ac.uk,1
Class 2,ufersa.edu.br,1
Class 2,ufreegames.com,26
Class 2,ufrgs.br,1
Class 2,ugr.es,1
Class 2,uhu.es,1
Class 2,ukfast.co.uk,1
Class 2,ukfast.net,1
Class 2,ukrainedate.com,2
Class 2,ul.pt,1
Class 2,ulisboa.pt,1
Class 2,ultrahuman.com,1
Class 2,ulusofona.pt,2
Class 2,umb.edu,4
Class 2,umbrella.com,1
Class 2,unaids.org,1
Class 2,unbounce.com,3
Class 2,unh.edu,3
Class 2,uni.edu,7
Class 2,unilab.com.ph,2
Class 2,unilife.co.jp,7
Class 2,uninter.com,5
Class 2,unionleader.com,18
Class 2,unipr.it,2
Class 2,uniri.hr,1
Class 2,unison.org.uk,3
Class 2,unitedway.org,5
Class 2,universalorlando.com,4
Class 2,universalparks.com,1
Class 2,universalpictures.com,3
Class 2,universalstudios.com,1
Class 2,universalstudioshollywood.com,4
Class 2,universe.com,1
Class 2,uniview.com,1
Class 2,unleashedsoftware.com,2
Class 2,unm.edu,1
Class 2,unovacursos.com.br,1
Class 2,untangle.com,1
Class 2,uopeople.edu,1
Class 2,up.ac.za,4
Class 2,upde.cc,2
Class 2,upf.edu,2
Class 2,upi.com,11
Class 2,uplandsoftware.com,1
Class 2,upload.app,21
Class 2,uploadvr.com,4
Class 2,uppbeat.io,2
Class 2,uppromote.com,2
Class 2,uprinting.com,2
Class 2,upsellit.com,4
Class 2,upserve.com,1
Class 2,upshow.tv,2
Class 2,uptimerobot.com,2
Class 2,uptodown.com,1
Class 2,uquiz.com,9
Class 2,urbania.pe,8
Class 2,urbanovitalino.com.br,1
Class 2,urosario.edu.co,14
Class 2,urv.cat,3
Class 2,usablenet.com,3
Class 2,usafacts.org,2
Class 2,usal.es,1
Class 2,uschamber.com,2
Class 2,useit.com,2
Class 2,usembassy.gov,1
Class 2,usemotion.com,2
Class 2,usermaven.com,2
Class 2,usersnap.com,1
Class 2,userway.org,2
Class 2,ushealthquick.com,2
Class 2,usi.edu,12
Class 2,usizy.com,1
Class 2,usmission.gov,1
Class 2,usopen.org,11
Class 2,usta.com,1
Class 2,utb.cz,7
Class 2,utdstc.com,1
Class 2,uthm.edu.my,1
Class 2,utulsa.edu,10
Class 2,uvigo.es,1
Class 2,uvigo.gal,1
Class 2,uvt.nl,3
Class 2,uvt.ro,3
Class 2,uw.edu.pl,1
Class 2,uwc.edu,1
Class 2,uwec.edu,3
Class 2,uwi.edu,1
Class 2,uwinnipeg.ca,2
Class 2,uwm.edu.pl,1
Class 2,uworld.com,2
Class 2,uxcam.com,1
Class 2,uxtweak.com,1
Class 2,vacasa.com,1
Class 2,vagaro.com,1
Class 2,valuehosted.com,1
Class 2,vasaloppet.se,6
Class 2,vecteezy.com,7
Class 2,vectra.ai,2
Class 2,vedos.cz,3
Class 2,veeam.com,2
Class 2,veesp.com,2
Class 2,vegasslotsonline.com,2
Class 2,vektor-inc.co.jp,1
Class 2,vendhq.com,1
Class 2,venezia.pl,2
Class 2,venmo.com,1
Class 2,vennapps.com,2
Class 2,veo.co,1
Class 2,veracode.com,1
Class 2,veracross.com,3
Class 2,veradigm.com,1
Class 2,vercapas.com,51
Class 2,verdesmares.com.br,9
Class 2,verginet.net,2
Class 2,versum.com,6
Class 2,vertiv.com,3
Class 2,very.co.uk,1
Class 2,vetradar.com,3
Class 2,vevida.com,2
Class 2,vevor.ca,4
Class 2,vevor.com,4
Class 2,vevor.de,4
Class 2,vevor.es,4
Class 2,vevor.fr,4
Class 2,vevor.it,4
Class 2,vevor.nl,4
Class 2,vezzi.pl,2
Class 2,viabill.com,2
Class 2,vianet.ca,1
Class 2,viasat.com,2
Class 2,vibraenergia.com.br,2
Class 2,vicicollection.com,2
Class 2,vicko.gr,2
Class 2,victorianplumbing.co.uk,1
Class 2,victoriassecret.com,2
Class 2,victorinox.com,2
Class 2,vidangel.com,1
Class 2,videoly.co,2
Class 2,vidnoz.com,3
Class 2,vidyome.com,1
Class 2,vietnamcupid.com,2
Class 2,vikingdeals.be,3
Class 2,vincere.io,1
Class 2,vintagestory.at,1
Class 2,viooh.com,1
Class 2,vip.nl,2
Class 2,vipre.com,2
Class 2,virtela.net,2
Class 2,virtono.com,3
Class 2,virusfree.cz,1
Class 2,visilabs.net,4
Class 2,visit.brussels,2
Class 2,visitabudhabi.ae,2
Class 2,visitgreece.gr,2
Class 2,visitnc.com,2
Class 2,visitorlando.com,4
Class 2,visitsaudi.com,12
Class 2,visitsingapore.com,1
Class 2,visitukraine.today,2
Class 2,visma.net,2
Class 2,vitalant.org,2
Class 2,vitally.io,2
Class 2,vitals.app,3
Class 2,vitals.co,3
Class 2,vivaia.com,34
Class 2,viveport.com,4
Class 2,vivo.com,3
Class 2,vmake.ai,2
Class 2,vnc.com,3
Class 2,voc.ai,2
Class 2,vodafone.co.uk,1
Class 2,vodafone.com.eg,3
Class 2,voiceflow.com,2
Class 2,volanta.app,3
Class 2,volaris.com,1
Class 2,volleyballworld.com,6
Class 2,volvogroup.com,2
Class 2,volvotrucks.com,2
Class 2,voog.com,1
Class 2,voya.com,3
Class 2,vpauto.fr,4
Class 2,vpnjantit.com,31
Class 2,vpnmentor.com,1
Class 2,vpnoverview.com,1
Class 2,vpnunlimitedapp.com,3
Class 2,vtiger.com,1
Class 2,vu.lt,8
Class 2,vuch.cz,3
Class 2,vungle.com,3
Class 2,vwo.com,1
Class 2,wada-ama.org,3
Class 2,wahoofitness.com,1
Class 2,wake.tech,2
Class 2,waldenu.edu,1
Class 2,wales.nhs.uk,1
Class 2,wallpaperaccess.com,9
Class 2,warnerhotels.co.uk,1
Class 2,washington.org,12
Class 2,watchmojo.com,2
Class 2,water.org,3
Class 2,waveapps.com,3
Class 2,wavegolden.com,5
Class 2,wayground.com,4
Class 2,wayup.com,1
Class 2,wayvia.com,2
Class 2,wck.org,3
Class 2,wdtinc.com,2
Class 2,weareteachers.com,8
Class 2,wearewild.com,1
Class 2,webdunia.com,20
Class 2,webengage.com,4
Class 2,webeyez.com,2
Class 2,webglobe.com,3
Class 2,webhouse.sk,1
Class 2,webinargeek.com,2
Class 2,weblium.com,2
Class 2,webo.hosting,1
Class 2,webself.net,6
Class 2,websummit.com,2
Class 2,wecare.gr,2
Class 2,wedos.cz,2
Class 2,wedos.eu,2
Class 2,wefut.com,19
Class 2,wego.com,1
Class 2,weizmann.ac.il,2
Class 2,well.ca,9
Class 2,wellcertified.com,3
Class 2,welltory.com,4
Class 2,wepink.com.br,4
Class 2,wesco.com,1
Class 2,westernsydney.edu.au,7
Class 2,westmancom.com,2
Class 2,westminster.ac.uk,6
Class 2,westwing.com.br,8
Class 2,wetracked.io,3
Class 2,wetv.vip,2
Class 2,weverse.io,2
Class 2,what3words.com,2
Class 2,whatfontis.com,6
Class 2,whatismycountry.com,32
Class 2,whc.ca,1
Class 2,wheaton.edu,1
Class 2,wheelofnames.com,3
Class 2,which.co.uk,8
Class 2,whitecase.com,2
Class 2,whoscall.com,9
Class 2,whufc.com,10
Class 2,wibki.com,4
Class 2,wickes.co.uk,1
Class 2,wikiloc.com,2
Class 2,wildapricot.com,1
