disclosure_group,domain,total_request_count
Class 2,aaai.org,1
Class 2,aacsb.edu,2
Class 2,aans.org,3
Class 2,aap.org,7
Class 2,aarong.com,2
Class 2,aasm.org,3
Class 2,aasp.org.br,3
Class 2,abajournal.com,34
Class 2,abbi.io,1
Class 2,abc-clio.com,1
Class 2,abilitynet.org.uk,1
Class 2,abonoteatro.com,3
Class 2,aboutcookies.org,1
Class 2,abovethelaw.com,9
Class 2,abplive.com,29
Class 2,acaai.org,4
Class 2,acb.com.vn,5
Class 2,acc.com,3
Class 2,accessonline.com,13
Class 2,accredible.com,2
Class 2,acdsee.com,5
Class 2,aceee.org,2
Class 2,acefitness.org,5
Class 2,acenet.edu,1
Class 2,acfe.com,1
Class 2,achrnews.com,2
Class 2,acibadem.com.tr,3
Class 2,ackermans.co.za,3
Class 2,actionaid.org,3
Class 2,activecommunities.com,2
Class 2,actonsoftware.com,1
Class 2,actorsaccess.com,5
Class 2,ada.org,1
Class 2,adacado.com,6
Class 2,adadapted.com,3
Class 2,adam4adamsfw.com,26
Class 2,adameve.com,1
Class 2,adani.com,2
Class 2,adaptedmind.com,1
Class 2,add.ua,2
Class 2,adestra.com,1
Class 2,adminbyrequest.com,3
Class 2,admiral.com,1
Class 2,adoptapet.com,11
Class 2,adoric.com,3
Class 2,adorocinema.com,16
Class 2,adpushup.com,4
Class 2,adsmoloco.com,2
Class 2,adsmurai.com,2
Class 2,adsoftheworld.com,14
Class 2,adsplay.com.br,3
Class 2,adspower.com,2
Class 2,adzuna.com,3
Class 2,aegeanair.com,1
Class 2,aena.es,2
Class 2,affilired.com,2
Class 2,affinity.co,2
Class 2,affise.com,3
Class 2,afrointroductions.com,2
Class 2,aftvnews.com,19
Class 2,agatameble.pl,3
Class 2,agenciagbc.com,9
Class 2,agora.io,3
Class 2,aguiabranca.com.br,2
Class 2,ahima.org,4
Class 2,ahoygames.com,1
Class 2,aicpa-cima.com,9
Class 2,aicpa.org,8
Class 2,aikido.dev,3
Class 2,aimatch.com,1
Class 2,ainvest.com,4
Class 2,aioseo.com,1
Class 2,airarabia.com,1
Class 2,airbrush.com,1
Class 2,airdna.co,6
Class 2,airindia.in,2
Class 2,airtelkenya.com,2
Class 2,airtime.pro,3
Class 2,ais.co.th,2
Class 2,ais.th,2
Class 2,ait.ac.th,1
Class 2,aivo.co,1
Class 2,ajc.org,3
Class 2,akc.org,9
Class 2,aktiencheck.de,5
Class 2,aku.edu,2
Class 2,akuvox.com,2
Class 2,al-islam.org,1
Class 2,albacross.com,2
Class 2,alchemer.com,4
Class 2,alchemer.eu,3
Class 2,aldoshoes.com,1
Class 2,alelo.com.br,2
Class 2,alexanderstreet.com,3
Class 2,alexhost.com,2
Class 2,alexhost.md,2
Class 2,algartelecom.com.br,3
Class 2,alhena.ai,1
Class 2,alldata.com,1
Class 2,allianz-trade.com,1
Class 2,allianz.at,2
Class 2,allmyfaves.com,19
Class 2,allofapps.com,13
Class 2,allscripts.com,1
Class 2,alphacommunity.in,2
Class 2,alphanews.live,14
Class 2,alpitour.it,10
Class 2,alsa-project.org,9
Class 2,alteg.io,3
Class 2,alterdata.com.br,5
Class 2,altn.com,3
Class 2,am-static.com,2
Class 2,amagi.com,1
Class 2,amara.org,1
Class 2,amazingtalker.com,1
Class 2,ambetterhealth.com,7
Class 2,ambitojuridico.com,3
Class 2,amc.com,4
Class 2,amcplus.com,2
Class 2,amctv.com,5
Class 2,amenitiz.io,2
Class 2,americanaddictioncenters.org,1
Class 2,americanheart.org,1
Class 2,americanhumane.org,1
Class 2,americastestkitchen.com,2
Class 2,amplifi.com,2
Class 2,amplifon.com,3
Class 2,amtrak.com,3
Class 2,amway.com.vn,2
Class 2,anarchy-online.com,1
Class 2,anawenti.com,2
Class 2,andalucia.org,10
Class 2,angloamerican.com,1
Class 2,angloinfo.com,4
Class 2,aniview.com,1
Class 2,anizle.org,1
Class 2,annsummers.com,2
Class 2,anticafarmaciaorlandi.it,2
Class 2,antstream.com,2
Class 2,antuit.ai,1
Class 2,anubisnetworks.com,2
Class 2,anymeeting.com,1
Class 2,apastyle.org,2
Class 2,aplikuj.pl,3
Class 2,appcast.io,2
Class 2,appdynamics.com,2
Class 2,appisfree.com,12
Class 2,appledaily.com,42
Class 2,appliancesdirect.co.uk,1
Class 2,appoptics.com,1
Class 2,appsflyer.com,2
Class 2,appsolve.io,3
Class 2,apptentive.com,3
Class 2,aprecomm.ai,1
Class 2,ar15.com,1
Class 2,arbonne.com,2
Class 2,arborday.org,2
Class 2,arcadiapublishing.com,2
Class 2,architecturalrecord.com,2
Class 2,architecture.com,2
Class 2,architizer.com,11
Class 2,arezzo.com.br,2
Class 2,ariat.com,2
Class 2,arista.com,2
Class 2,ariston.com,3
Class 2,armstrongceilings.com,1
Class 2,aronia-charlottenburg.ro,1
Class 2,arquitecturaydiseno.es,3
Class 2,artfinder.com,1
Class 2,article.com,2
Class 2,artlogic.net,1
Class 2,asahi-kasei.co.jp,1
Class 2,asana.biz,1
Class 2,asana.com,1
Class 2,asana.plus,1
Class 2,ashleyfurniture.com,1
Class 2,ashleystewart.com,2
Class 2,ashmolean.org,1
Class 2,asiandating.com,2
Class 2,asianews.it,23
Class 2,asianpaints.com,2
Class 2,ask.com,1
Class 2,askaichat.app,2
Class 2,asml.com,2
Class 2,aspeninstitute.org,2
Class 2,aspentech.com,1
Class 2,aspose.com,1
Class 2,asroma.com,7
Class 2,assembledhq.com,1
Class 2,astound.com,6
Class 2,astra-ai.co,2
Class 2,astraweb.com,2
Class 2,astrologyanswers.com,36
Class 2,ataoland.com,3
Class 2,atende.net,2
Class 2,ateneo.edu,1
Class 2,athenahealth.com,1
Class 2,atlantis.com,1
Class 2,atlasobscura.com,6
Class 2,atman.pl,1
Class 2,att-securefamily.com,2
Class 2,att.com,5
Class 2,attrattivo.com,2
Class 2,atw.jp,1
Class 2,aucegypt.edu,1
Class 2,auchan.ro,1
Class 2,auctollo.com,1
Class 2,audemarspiguet.com,2
Class 2,audio-technica.com,2
Class 2,audiocodes.com,1
Class 2,audiolibrix.com,2
Class 2,audiomicro.com,6
Class 2,audleytravel.com,2
Class 2,ausopen.com,4
Class 2,australia.com,2
Class 2,aut.ac.nz,3
Class 2,autodielygafa.sk,1
Class 2,autogari.ro,8
Class 2,automizely.com,2
Class 2,autoviacao1001.com.br,5
Class 2,auvik.com,2
Class 2,avakin.com,1
Class 2,avaloncommunities.com,4
Class 2,avantio.com,2
Class 2,averydennison.com,2
Class 2,avfc.co.uk,2
Class 2,avianca.com,2
Class 2,aviationa2z.com,10
Class 2,aviva.com,2
Class 2,awardsplatform.com,1
Class 2,awfulannouncing.com,28
Class 2,aws.org,2
Class 2,awwwards.com,2
Class 2,axa.co.jp,5
Class 2,axeda.com,3
Class 2,axisbank.com,2
Class 2,ay.by,1
Class 2,azar777.io,3
Class 2,azdailysun.com,6
Class 2,azulseguros.com.br,4
Class 2,azurgames.com,3
Class 2,b2bmarketing.net,5
Class 2,b3.com.br,1
Class 2,babyfiya.com,11
Class 2,babylonbee.com,2
Class 2,babypips.com,4
Class 2,backabuddy.co.za,2
Class 2,backlog.com,2
Class 2,backloggd.com,6
Class 2,bacp.co.uk,1
Class 2,baddiehub.com,7
Class 2,baeldung.com,10
Class 2,bagelcode.com,1
Class 2,bahamas.com,3
Class 2,bairesdev.com,3
Class 2,ball.com,1
Class 2,bancobmg.com.br,3
Class 2,bandai-hobby.net,3
Class 2,bandhanlife.com,3
Class 2,banffcentre.ca,3
Class 2,bangkokair.com,4
Class 2,bangkokpost.com,15
Class 2,bangor.ac.uk,4
Class 2,bankfab.com,2
Class 2,banyantree.com,4
Class 2,baomoi.com,2
Class 2,barcelonaturisme.com,5
Class 2,barclaycardus.com,2
Class 2,bardiauto.ro,2
Class 2,barilliance.com,2
Class 2,barion.com,2
Class 2,basware.com,4
Class 2,battlefields.org,5
Class 2,baymard.com,3
Class 2,bazaarvoice.com,1
Class 2,bbc.co.uk,8
Class 2,bbc.com,11
Class 2,bbc.in,11
Class 2,bbcamerica.com,8
Class 2,bbwcupid.com,2
Class 2,bcferries.com,3
Class 2,bdt.com.ve,5
Class 2,beacons.ai,1
Class 2,beatstars.com,1
Class 2,beatstars.net,2
Class 2,beds.ac.uk,3
Class 2,beenverified.com,2
Class 2,beeradvocate.com,4
Class 2,behostings.net,1
Class 2,belluna.jp,7
Class 2,belmeta.com,1
Class 2,beltelecom.by,6
Class 2,benchmarkemail.com,7
Class 2,benevity.org,2
Class 2,berklee.edu,1
Class 2,bestjobs.eu,3
Class 2,bestlawyers.com,4
Class 2,betnews.by,2
Class 2,betradar.com,1
Class 2,betss.com,1
Class 2,betterimpact.com,1
Class 2,betway.co.mz,5
Class 2,betway.co.tz,5
Class 2,betway.co.za,4
Class 2,betway.com.gh,5
Class 2,betway.com.ng,4
Class 2,bevnet.com,14
Class 2,bfwpub.com,2
Class 2,bgs.ac.uk,1
Class 2,bhhs.com,2
Class 2,bibliu.com,1
Class 2,bidspirit.com,3
Class 2,bidspotter.com,4
Class 2,bidsquare.com,2
Class 2,biiut.com,12
Class 2,biologicaldiversity.org,2
Class 2,biospace.com,9
Class 2,birdeye.com,3
Class 2,bissell.com,1
Class 2,bistudio.com,1
Class 2,bitauto.com,24
Class 2,bitfinex.com,2
Class 2,bitgravity.com,2
Class 2,bitrise.io,2
Class 2,bittitan.com,1
Class 2,bk.com,3
Class 2,blackcircles.com,2
Class 2,bleachernation.com,8
Class 2,blenderartists.org,7
Class 2,blenderkit.com,1
Class 2,blinds-2go.co.uk,3
Class 2,bling.com.br,4
Class 2,blinktelecom.com.br,1
Class 2,blinq.me,2
Class 2,blip.ai,3
Class 2,blisspointmedia.com,2
Class 2,blizoo.bg,2
Class 2,bloglines.com,19
Class 2,blogto.com,15
Class 2,blooloop.com,7
Class 2,bloomingdales.com,2
Class 2,bluecross.ca,2
Class 2,bluelagoon.com,2
Class 2,bluezones.com,4
Class 2,bmstores.fr,1
Class 2,bny.com,2
Class 2,bnymellon.com,2
Class 2,boardgamegeek.com,12
Class 2,boats.com,8
Class 2,boatsgroup.com,1
Class 2,bobs.com.br,4
Class 2,bodzio.pl,2
Class 2,bohemia.net,1
Class 2,boingboing.net,9
Class 2,bokun.io,2
Class 2,bokuntest.com,2
Class 2,boldapps.net,3
Class 2,boldcommerce.com,3
Class 2,bonito.pl,2
Class 2,bonterratech.com,2
Class 2,bookimed.com,2
Class 2,bookmap.com,2
Class 2,booksense.com,1
Class 2,booksy.com,1
Class 2,bookvisit.com,3
Class 2,boombit.com,1
Class 2,boomplay.com,8
Class 2,boomplaymusic.com,8
Class 2,boosteroid.com,2
Class 2,boss.info,1
Class 2,bostonscally.com,2
Class 2,botrix.live,5
Class 2,bouxavenue.com,1
Class 2,boxcast.com,3
Class 2,boyfriend.tv,1
Class 2,boyfriendtv.com,1
Class 2,boyfriendtv.in,1
Class 2,bracbank.com,2
Class 2,brafton.com,2
Class 2,braiins.com,2
Class 2,brainpop.com,3
Class 2,brandfinance.com,6
Class 2,brandshelter.com,2
Class 2,brasildefato.com.br,16
Class 2,brassring.com,1
Class 2,bravotv.com,10
Class 2,brazilcupid.com,2
Class 2,breakdownexpress.com,6
Class 2,breakingdefense.com,7
Class 2,breathehr.com,2
Class 2,breezechms.com,3
Class 2,breezy.hr,3
Class 2,breinify.com,2
Class 2,brevo.com,1
Class 2,bricodepot.es,1
Class 2,bricodepot.pt,1
Class 2,bridgemi.com,7
Class 2,bridgew.edu,4
Class 2,brightgauge.co,5
Class 2,brightvpn.com,1
Class 2,brill.com,1
Class 2,brillonline.com,1
Class 2,britishcycling.org.uk,2
Class 2,britishgas.co.uk,1
Class 2,broadway.com,33
Class 2,bromcom.com,2
Class 2,brompton.com,3
Class 2,brookfield.com,3
Class 2,brooklinen.com,2
Class 2,brother.com,1
Class 2,bruegel.org,1
Class 2,bruntworkwear.com,3
Class 2,brusheezy.com,21
Class 2,brzozowiak.pl,19
Class 2,bsigroup.com,1
Class 2,bubble.io,2
Class 2,bubbleapps.io,2
Class 2,bubilet.com.tr,2
Class 2,buckle.com,4
Class 2,budgetblinds.com,3
Class 2,buhlergroup.com,1
Class 2,builder.io,2
Class 2,bulawayo24.com,63
Class 2,bulgarihotels.com,3
Class 2,bunge.com,2
Class 2,burga.com,3
Class 2,buymeacoffee.com,1
Class 2,buysellonline.jp,3
Class 2,bwfbadminton.com,1
Class 2,bwin.es,1
Class 2,bwin.gr,4
Class 2,byfly.by,4
Class 2,c3.ai,1
Class 2,cabi.org,2
Class 2,caci.com,1
Class 2,cadburydessertscorner.com,2
Class 2,cafepress.co.uk,1
Class 2,cafonline.org,3
Class 2,caixabank.com,1
Class 2,caixin.com,8
Class 2,caixinglobal.com,12
Class 2,cakebox.com,2
Class 2,calculat.io,14
Class 2,calendarlabs.com,25
Class 2,calliope.style,1
Class 2,callpage.io,2
Class 2,calltrackingmetrics.com,5
Class 2,cam4.com,1
Class 2,cam4.eu,1
Class 2,cambly.com,2
Class 2,cambridgeenglish.org,2
Class 2,cambridgeinternational.org,1
Class 2,camra.org.uk,2
Class 2,camscanner.com,1
Class 2,cancaonova.com,3
Class 2,candid.org,1
Class 2,candy.ai,2
Class 2,cannondale.com,2
Class 2,canterbury.ac.nz,2
Class 2,capcom.co.jp,1
Class 2,capitalone.ca,3
Class 2,cardconnect.com,1
Class 2,cardiffmet.ac.uk,4
Class 2,cardrush-dm.jp,3
Class 2,cardrush.jp,3
Class 2,careem.com,2
Class 2,careerfoundry.com,2
Class 2,careerplug.com,1
Class 2,careers24.com,11
Class 2,caretobeauty.com,1
Class 2,caring.com,1
Class 2,carjet.com,2
Class 2,carnegiescience.edu,1
Class 2,carnet.hr,1
Class 2,carrefouruae.com,3
Class 2,cartaodetodos.com.br,2
Class 2,casar.com,4
Class 2,casel.org,1
Class 2,casino.us,1
Class 2,castify.ai,1
Class 2,castingnetworks.com,1
Class 2,castrol.com,1
Class 2,catchon.com,1
Class 2,catchthemes.com,1
Class 2,catholicherald.co.uk,1
Class 2,cbn.com,3
Class 2,cbpng.com,15
Class 2,cbpp.org,1
Class 2,ccl.org,7
Class 2,cdbaby.com,2
Class 2,cdp.net,1
Class 2,cegid.com,1
Class 2,celebritycruises.com,3
Class 2,celestino.gr,1
Class 2,celiac.org,1
Class 2,celticfc.com,6
Class 2,cenovus.com,1
Class 2,centarahotelsresorts.com,3
Class 2,centene.com,2
Class 2,centralparknyc.org,9
Class 2,centricsoftware.com,3
Class 2,centrify.com,3
Class 2,centurygame.com,5
Class 2,centurygames.com,7
Class 2,centurygames.net,7
Class 2,cepa.org,1
Class 2,cerema.fr,1
Class 2,cervantes.es,1
Class 2,cesim.com,3
Class 2,cetin.cz,1
Class 2,cfm.org.br,3
Class 2,challengermode.com,2
Class 2,chamonix.com,1
Class 2,champlain.edu,4
Class 2,chanced.com,2
Class 2,channeladvisor.com,2
Class 2,chapman.edu,4
Class 2,charleskeith.com,2
Class 2,charlesproxy.com,2
Class 2,chatiw.fr,7
Class 2,chatiw.us,16
